seed,config,r,m_t_source,point_idx,category,t,tau,d_eff_denoiser,d_eff_energy
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9639095067977905,0.003220746852003259,133.9689178466797,29.339698757104316
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9639095067977905,0.003220746852003259,129.83096313476562,69.2994144396809
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9900050163269043,0.00024653313770706494,117.30882263183594,136.5441846322678
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9900050163269043,0.00024653313770706494,108.874755859375,29.559132215624857
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9900050163269043,0.00024653313770706494,154.435302734375,117.76469599814376
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9900050163269043,0.00024653313770706494,144.54104614257812,140.84451877665578
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9999005198478699,2.441814355392075e-08,318.57598876953125,190.9862002250809
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9999005198478699,2.441814355392075e-08,314.09027099609375,175.42060060777752
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9999005198478699,2.441814355392075e-08,312.0467529296875,459.4641189235824
300,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_300_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9999005198478699,2.441814355392075e-08,310.0079040527344,423.25463785759666
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.01994955539703369,1017.6757444312417,24.15814208984375,1.070026247682648
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.01994955539703369,1017.6757444312417,22.339813232421875,2.6983360754144314
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.01994955539703369,1017.6757444312417,23.35167121887207,2.7552867469859166
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.01994955539703369,1017.6757444312417,22.892210006713867,2.727401191838709
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.19004499912261963,10.5607674764306,24.082666397094727,8.490651955447305
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.19004499912261963,10.5607674764306,25.339378356933594,4.291496696801374
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.19004499912261963,10.5607674764306,26.6247501373291,-1.5192163006751116
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.19004499912261963,10.5607674764306,25.097021102905273,8.161461909298538
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.3439404368400574,2.779782472836345,26.38627052307129,3.343425813955946
